Type,Chemical,Unit,Maximum Allowed,Goal,Average Level Detected,Highest Level Detected,Range Detected,Florence Plant,Platte South Plant,Peaking Wells,Likely source(s)
Regulated,Total Coliform bacteria,%,5,0,,0,, ,,,Bacteria naturally present in the environment; used as an indicator that other potentially harmful bacteria may be present.
Regulated,E. Coli bacteria,,,0,,0,,,,,Naturally present in the environment.
Regulated,Lead,ppb,15,0,,6.5,,,,, Erosion of natural deposits; leaching from wood preservatives; corrosion of household plumbing systems.
Regulated,Copper,ppm,1.3,1.3,,0.0295,,,,,Erosion of natural deposits; leaching from wood preservatives; corrosion of household plumbing systems.
Regulated,Turbidity,NTU,1,NA,,0.36,,,,,Soil runoff.
Regulated,Arsenic,ppb,10,0,,5,<2-5.44,,,,Runoff from orchards; natural deposits; runoff from glass and electronic production wastes.
Regulated,Atrazine,ppb,3,3,,0.18,<0.08-0.84,,,," ""Runoff from herbicide used on row crops."""
Regulated,Barium,ppm,2,2,,0.09,0.05-0.09,,,,Discharge of drilling wastes; discharge from metal refineries; erosion of natural deposits.
Regulated,Chromium,ppb,100,100,,7.11,1.81-7.11,,,,Discharge from chemical and agricultural chemical factories.
Regulated,Dibronochloropropane (DBCP),ppt,200,200,,10,<10-10,,,,"Runoff, leaching from soil fumigant used on soybeans, cotton, pineapples and orchards."
Regulated,Ethylbenzene,ppm,700,700,,1.2,<0.5-1.2,,,,Drainage from petroleum refineries.
Regulated,Fluoride,ppm,4,4,,1.04,0.37-1.04,,,,Water additive to promote strong teeth; erosion of natural deposits; discharge from fertilizer and aluminum factories.
Regulated,Gross Alpha,pCi/L,15,0,,7.3,3.3-7.3,,,,Erosion of natural deposits.
Regulated,Radium (Ra 226 plus Ra 228),pCi/L,5,0,,0.9,0-0.9,,,,Erosion of natural deposits.
Regulated,Nitrate and Nitrite total (as Nitrogen),ppm,10,10,,1.8,0.27-1.8,,,,"Runoff from fertilizer use; leaching from septic tanks, sewage; erosion of natural deposits."
Regulated,Selenium,ppb,50,50,,7.88,<5.0-7.88,,,,Discharge from petroleum and metal refineries; erosion natural of deposits; discharge from mines.
Regulated,Sodium,ppm,500,NA,,73,22-73,,,,"An element of the alkali metal group found in nature, soil, rocks and other deposits."
Regulated,Trihaloacetic acids (HAA5s),ppb,60,NA,,27.8,6.5-61.3,,,,By-product of drinking water chlorination.
Regulated,Trihalomethanes total (TTHMs),ppb,80,NA,,55.1,20.8-101.3,,,,By-product of drinking water chlorination.
Regulated,Xylenes meta,ppm,10,10,,0.004,<0.0005-0.004,,,,Discharge from petroleum and chemical factories.
Regulated,Xylenes ortho,ppm,10,10,,0.0013,<0.0005-0.0013,,,,Discharge from petroleum and chemical factories.
Unregulated,Nickel,ppb,,,2.1,2.41,1.67-2.41,,,,
Regulated,Simazine,ppb,4,4,,0.1,<0.10-0.125,,,,Herbacide run-off.
Unregulated,Bromochlooacetic acid,ppm,,,5.9,, 2.8-11.0 ,,,,
Unregulated,Bromodichloromethane,ppm,,,11.5,, 5.96-21.6 ,,,,
Unregulated,Bromoform,ppm,,,0.65,, <0.5-1.64 ,,,,
Unregulated,Chloroform,ppm,,,27.7,, 8.62-74.4 ,,,,
Unregulated,Dichoroacetic acid,ppm,,,1.7,, 0.7-3.7 ,,,,
Unregulated,Dibromochloromethane,ppm,,,5.3,, 2.03-11.0 ,,,,
Unregulated,Dibromoacetic acid,ppm,,,16.1,, 3.3-41.0 ,,,,
Unregulated,Metolachlor,ppm,,,0.1,,<0.1-0.2 ,,,,
Unregulated,Monobromoacetic acid,ppm,,,2.4,, <1.0-5.8 ,,,,
Unregulated,Monochloroacetic acid,ppm,,,2.1,, <2.0-4.6 ,,,,
Unregulated,Total Organic Carbon (TOC),ppm,,,3.02,, 2.59-3.83,,,,
Unregulated,Trichloroacetic acid,ppb,,,4.7,, 1.2-14.0 ,,,,
Unregulated,Sulfate,ppm,,,116,, 64-210 ,,,,
Unregulated,Radium-228,pCi/L,,,0.2,, 0-0.9,,,,
Unregulated,Radium-226,pCi/L,,,0.1,, 0-0.3 ,,,,
Mineral,pH,pH units,,,8.8,, 8.34-9.09,,,,
Mineral,Alkalinity (total) as CaCO3,ppm,,,113,,68-152,,,,
Mineral,Aluminum,ppm,,,0.06,,<0.02-0.31,,,,
Mineral,Calcium,ppm,,,46,,39-52,,,,
Mineral,Chloride,ppm,,,26,,17-52,,,,
Mineral,Color (in cobalt platinum units),ppm,,,2,, 1-4,,,,
Mineral,Dissolved Solids,ppm,,,417,, 349-519,,,,
Mineral,Hardness (total) as CaCO3,grains per gallon,,,10,, 8-13 ,,,,
Mineral,Iron,ppm,,,0.03,, <0.02-0.09,,,,
Mineral,Magnesium,ppm,,,13,, 8-21,,,,
Mineral,Manganese,ppm,,,0.02,, <0.02-0.022,,,,
Mineral,Phosphate,ppm,,,0.16,, <0.05-0.38,,,,
Mineral,Silica,ppm,,,28.2,,6.5-81.2,,,,
Mineral,Spec. Conductance @25 deg. C.,umhos,,,532,, 423-740 ,,,,
Mineral,Temperature,degrees Celsius,,,14.4,, 2.5-25.9 ,,,,
Mineral,Zinc,ppm,,, <0.02,, <0.02,,,,
